colour	x	y	PANEL	fill
#F8766D	3.5	5.1	1	#F8766D
#F8766D	3	4.9	1	#F8766D
#F8766D	3.2	4.7	1	#F8766D
#F8766D	3.1	4.6	1	#F8766D
#F8766D	3.6	5	1	#F8766D
#F8766D	3.9	5.4	1	#F8766D
#F8766D	3.4	4.6	1	#F8766D
#F8766D	3.4	5	1	#F8766D
#F8766D	2.9	4.4	1	#F8766D
#F8766D	3.1	4.9	1	#F8766D
#F8766D	3.7	5.4	1	#F8766D
#F8766D	3.4	4.8	1	#F8766D
#F8766D	3	4.8	1	#F8766D
#F8766D	3	4.3	1	#F8766D
#F8766D	4	5.8	1	#F8766D
#F8766D	4.4	5.7	1	#F8766D
#F8766D	3.9	5.4	1	#F8766D
#F8766D	3.5	5.1	1	#F8766D
#F8766D	3.8	5.7	1	#F8766D
#F8766D	3.8	5.1	1	#F8766D
#F8766D	3.4	5.4	1	#F8766D
#F8766D	3.7	5.1	1	#F8766D
#F8766D	3.6	4.6	1	#F8766D
#F8766D	3.3	5.1	1	#F8766D
#F8766D	3.4	4.8	1	#F8766D
#F8766D	3	5	1	#F8766D
#F8766D	3.4	5	1	#F8766D
#F8766D	3.5	5.2	1	#F8766D
#F8766D	3.4	5.2	1	#F8766D
#F8766D	3.2	4.7	1	#F8766D
#F8766D	3.1	4.8	1	#F8766D
#F8766D	3.4	5.4	1	#F8766D
#F8766D	4.1	5.2	1	#F8766D
#F8766D	4.2	5.5	1	#F8766D
#F8766D	3.1	4.9	1	#F8766D
#F8766D	3.2	5	1	#F8766D
#F8766D	3.5	5.5	1	#F8766D
#F8766D	3.6	4.9	1	#F8766D
#F8766D	3	4.4	1	#F8766D
#F8766D	3.4	5.1	1	#F8766D
#F8766D	3.5	5	1	#F8766D
#F8766D	2.3	4.5	1	#F8766D
#F8766D	3.2	4.4	1	#F8766D
#F8766D	3.5	5	1	#F8766D
#F8766D	3.8	5.1	1	#F8766D
#F8766D	3	4.8	1	#F8766D
#F8766D	3.8	5.1	1	#F8766D
#F8766D	3.2	4.6	1	#F8766D
#F8766D	3.7	5.3	1	#F8766D
#F8766D	3.3	5	1	#F8766D
#00BA38	3.2	7	2	#00BA38
#00BA38	3.2	6.4	2	#00BA38
#00BA38	3.1	6.9	2	#00BA38
#00BA38	2.3	5.5	2	#00BA38
#00BA38	2.8	6.5	2	#00BA38
#00BA38	2.8	5.7	2	#00BA38
#00BA38	3.3	6.3	2	#00BA38
#00BA38	2.4	4.9	2	#00BA38
#00BA38	2.9	6.6	2	#00BA38
#00BA38	2.7	5.2	2	#00BA38
#00BA38	2	5	2	#00BA38
#00BA38	3	5.9	2	#00BA38
#00BA38	2.2	6	2	#00BA38
#00BA38	2.9	6.1	2	#00BA38
#00BA38	2.9	5.6	2	#00BA38
#00BA38	3.1	6.7	2	#00BA38
#00BA38	3	5.6	2	#00BA38
#00BA38	2.7	5.8	2	#00BA38
#00BA38	2.2	6.2	2	#00BA38
#00BA38	2.5	5.6	2	#00BA38
#00BA38	3.2	5.9	2	#00BA38
#00BA38	2.8	6.1	2	#00BA38
#00BA38	2.5	6.3	2	#00BA38
#00BA38	2.8	6.1	2	#00BA38
#00BA38	2.9	6.4	2	#00BA38
#00BA38	3	6.6	2	#00BA38
#00BA38	2.8	6.8	2	#00BA38
#00BA38	3	6.7	2	#00BA38
#00BA38	2.9	6	2	#00BA38
#00BA38	2.6	5.7	2	#00BA38
#00BA38	2.4	5.5	2	#00BA38
#00BA38	2.4	5.5	2	#00BA38
#00BA38	2.7	5.8	2	#00BA38
#00BA38	2.7	6	2	#00BA38
#00BA38	3	5.4	2	#00BA38
#00BA38	3.4	6	2	#00BA38
#00BA38	3.1	6.7	2	#00BA38
#00BA38	2.3	6.3	2	#00BA38
#00BA38	3	5.6	2	#00BA38
#00BA38	2.5	5.5	2	#00BA38
#00BA38	2.6	5.5	2	#00BA38
#00BA38	3	6.1	2	#00BA38
#00BA38	2.6	5.8	2	#00BA38
#00BA38	2.3	5	2	#00BA38
#00BA38	2.7	5.6	2	#00BA38
#00BA38	3	5.7	2	#00BA38
#00BA38	2.9	5.7	2	#00BA38
#00BA38	2.9	6.2	2	#00BA38
#00BA38	2.5	5.1	2	#00BA38
#00BA38	2.8	5.7	2	#00BA38
#619CFF	3.3	6.3	3	#619CFF
#619CFF	2.7	5.8	3	#619CFF
#619CFF	3	7.1	3	#619CFF
#619CFF	2.9	6.3	3	#619CFF
#619CFF	3	6.5	3	#619CFF
#619CFF	3	7.6	3	#619CFF
#619CFF	2.5	4.9	3	#619CFF
#619CFF	2.9	7.3	3	#619CFF
#619CFF	2.5	6.7	3	#619CFF
#619CFF	3.6	7.2	3	#619CFF
#619CFF	3.2	6.5	3	#619CFF
#619CFF	2.7	6.4	3	#619CFF
#619CFF	3	6.8	3	#619CFF
#619CFF	2.5	5.7	3	#619CFF
#619CFF	2.8	5.8	3	#619CFF
#619CFF	3.2	6.4	3	#619CFF
#619CFF	3	6.5	3	#619CFF
#619CFF	3.8	7.7	3	#619CFF
#619CFF	2.6	7.7	3	#619CFF
#619CFF	2.2	6	3	#619CFF
#619CFF	3.2	6.9	3	#619CFF
#619CFF	2.8	5.6	3	#619CFF
#619CFF	2.8	7.7	3	#619CFF
#619CFF	2.7	6.3	3	#619CFF
#619CFF	3.3	6.7	3	#619CFF
#619CFF	3.2	7.2	3	#619CFF
#619CFF	2.8	6.2	3	#619CFF
#619CFF	3	6.1	3	#619CFF
#619CFF	2.8	6.4	3	#619CFF
#619CFF	3	7.2	3	#619CFF
#619CFF	2.8	7.4	3	#619CFF
#619CFF	3.8	7.9	3	#619CFF
#619CFF	2.8	6.4	3	#619CFF
#619CFF	2.8	6.3	3	#619CFF
#619CFF	2.6	6.1	3	#619CFF
#619CFF	3	7.7	3	#619CFF
#619CFF	3.4	6.3	3	#619CFF
#619CFF	3.1	6.4	3	#619CFF
#619CFF	3	6	3	#619CFF
#619CFF	3.1	6.9	3	#619CFF
#619CFF	3.1	6.7	3	#619CFF
#619CFF	3.1	6.9	3	#619CFF
#619CFF	2.7	5.8	3	#619CFF
#619CFF	3.2	6.8	3	#619CFF
#619CFF	3.3	6.7	3	#619CFF
#619CFF	3	6.7	3	#619CFF
#619CFF	2.5	6.3	3	#619CFF
#619CFF	3	6.5	3	#619CFF
#619CFF	3.4	6.2	3	#619CFF
#619CFF	3	5.9	3	#619CFF
