x	y	label	key	showSelected1	showSelected2
3.811	71.1331707317073	Canada	Canada	1960	Canada
2.258	72.7004878048781	Canada	Canada	1970	Canada
1.74	75.0780487804878	Canada	Canada	1980	Canada
1.83	77.3770731707317	Canada	Canada	1990	Canada
1.49	79.2365853658537	Canada	Canada	2000	Canada
1.6269	80.7978048780488	Canada	Canada	2010	Canada
2.85	69.8682926829268	France	France	1960	France
2.55	71.6585365853659	France	France	1970	France
1.85	74.0512195121951	France	France	1980	France
1.77	76.6	France	France	1990	France
1.89	78.9585365853659	France	France	2000	France
2.03	81.3682926829268	France	France	2010	France
5.87	42.4455853658537	India	India	1960	India
5.494	49.1476341463415	India	India	1970	India
4.68	55.3470731707317	India	India	1980	India
3.917	58.3528536585366	India	India	1990	India
3.122	61.6138780487805	India	India	2000	India
2.625	65.1313414634146	India	India	2010	India
2.001	67.6660975609756	Japan	Japan	1960	Japan
2.135	71.950243902439	Japan	Japan	1970	Japan
1.75	76.0917073170732	Japan	Japan	1980	Japan
1.54	78.8368292682927	Japan	Japan	1990	Japan
1.359	81.0760975609756	Japan	Japan	2000	Japan
1.39	82.8426829268293	Japan	Japan	2010	Japan
6.783	57.0351219512195	Mexico	Mexico	1960	Mexico
6.72	61.3266585365854	Mexico	Mexico	1970	Mexico
4.705	66.5718536585366	Mexico	Mexico	1980	Mexico
3.4	70.7910975609756	Mexico	Mexico	1990	Mexico
2.581	74.274243902439	Mexico	Mexico	2000	Mexico
2.32	76.6837804878049	Mexico	Mexico	2010	Mexico
3.654	69.7707317073171	United States	United States	1960	United States
2.48	70.8073170731707	United States	United States	1970	United States
1.8395	73.6585365853659	United States	United States	1980	United States
2.081	75.2146341463415	United States	United States	1990	United States
2.056	76.6365853658537	United States	United States	2000	United States
1.931	78.5414634146342	United States	United States	2010	United States
