xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value
1955	1965	1	year	1960	year	1960
1965	1975	1970 1960	year	1970	year	1960
1975	1985	1980 1960	year	1980	year	1960
1985	1995	1990 1960	year	1990	year	1960
1995	2005	2000 1960	year	2000	year	1960
2005	2015	2010 1960	year	2010	year	1960
1955	1965	1960 1970	year	1960	year	1970
1965	1975	1	year	1970	year	1970
1975	1985	1980 1970	year	1980	year	1970
1985	1995	1990 1970	year	1990	year	1970
1995	2005	2000 1970	year	2000	year	1970
2005	2015	2010 1970	year	2010	year	1970
1955	1965	1960 1980	year	1960	year	1980
1965	1975	1970 1980	year	1970	year	1980
1975	1985	1	year	1980	year	1980
1985	1995	1990 1980	year	1990	year	1980
1995	2005	2000 1980	year	2000	year	1980
2005	2015	2010 1980	year	2010	year	1980
1955	1965	1960 1990	year	1960	year	1990
1965	1975	1970 1990	year	1970	year	1990
1975	1985	1980 1990	year	1980	year	1990
1985	1995	1	year	1990	year	1990
1995	2005	2000 1990	year	2000	year	1990
2005	2015	2010 1990	year	2010	year	1990
1955	1965	1960 2000	year	1960	year	2000
1965	1975	1970 2000	year	1970	year	2000
1975	1985	1980 2000	year	1980	year	2000
1985	1995	1990 2000	year	1990	year	2000
1995	2005	1	year	2000	year	2000
2005	2015	2010 2000	year	2010	year	2000
1955	1965	1960 2010	year	1960	year	2010
1965	1975	1970 2010	year	1970	year	2010
1975	1985	1980 2010	year	1980	year	2010
1985	1995	1990 2010	year	1990	year	2010
1995	2005	2000 2010	year	2000	year	2010
2005	2015	1	year	2010	year	2010
