group	colour	x	y	clickSelects
1	#00B0F6	1960	71.1331707317073	Canada
1	#00B0F6	1970	72.7004878048781	Canada
1	#00B0F6	1980	75.0780487804878	Canada
1	#00B0F6	1990	77.3770731707317	Canada
1	#00B0F6	2000	79.2365853658537	Canada
1	#00B0F6	2010	80.7978048780488	Canada
2	#A3A500	1960	69.8682926829268	France
2	#A3A500	1970	71.6585365853659	France
2	#A3A500	1980	74.0512195121951	France
2	#A3A500	1990	76.6	France
2	#A3A500	2000	78.9585365853659	France
2	#A3A500	2010	81.3682926829268	France
3	#E76BF3	1960	42.4455853658537	India
3	#E76BF3	1970	49.1476341463415	India
3	#E76BF3	1980	55.3470731707317	India
3	#E76BF3	1990	58.3528536585366	India
3	#E76BF3	2000	61.6138780487805	India
3	#E76BF3	2010	65.1313414634146	India
4	#F8766D	1960	67.6660975609756	Japan
4	#F8766D	1970	71.950243902439	Japan
4	#F8766D	1980	76.0917073170732	Japan
4	#F8766D	1990	78.8368292682927	Japan
4	#F8766D	2000	81.0760975609756	Japan
4	#F8766D	2010	82.8426829268293	Japan
5	#00BF7D	1960	57.0351219512195	Mexico
5	#00BF7D	1970	61.3266585365854	Mexico
5	#00BF7D	1980	66.5718536585366	Mexico
5	#00BF7D	1990	70.7910975609756	Mexico
5	#00BF7D	2000	74.274243902439	Mexico
5	#00BF7D	2010	76.6837804878049	Mexico
6	#00B0F6	1960	69.7707317073171	United States
6	#00B0F6	1970	70.8073170731707	United States
6	#00B0F6	1980	73.6585365853659	United States
6	#00B0F6	1990	75.2146341463415	United States
6	#00B0F6	2000	76.6365853658537	United States
6	#00B0F6	2010	78.5414634146342	United States
